"objet,""id_objet"",""id_forum"",""Date"",""Heure"",""Titre"",""Texte"",""Auteur"",""Email"",""Statut""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970734"",""20/07/2023"",""12:14"",""Défavorable "",""Totalement contre! Notre système d'indemnisation des agriculteurs par une société de chasse ne devrait pas exister. Avec ce système l'agriculteur n'est pas incité a trouver d'autres solutions que d'appeler les chasseurs. "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970754"",""20/07/2023"",""12:21"",""Avis favorable"",""Je suis favorable à ce décret car ces textes traduisent l&#8217";accord signé entre les agriculteurs et les chasseurs le 1er mars dernier. La nouvelle « boite à outils » permettra de limiter les dégâts de sanglier en fonction des besoins et circonstances locales et la procédure d&#8217;"indemnisation des dégâts de grand gibier sera améliorée.   "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970755"",""20/07/2023"",""12:22"",""projet de décret relatif à la réduction et à l'indemnisation des dégats de grand gibier"",""avis favorable texte conforme aux accords entre agriculteurs et chasseurs"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970761"",""20/07/2023"",""12:24"",""projet de décret relatif à la réduction et à l'indemnisation des dégats de grand gibier"",""avis favorable texte conforme aux accords entre agriculteurs et chasseurs qui devrait permettre une reduction des populations"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970809"",""20/07/2023"",""12:57"",""Réduction et indemnisation des dégâts"",""Je suis tout à fait favorable à cet accord agriculteurs/ Chasseurs"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970875"",""20/07/2023"",""13:58"",""Avis Favorable"",""En tant que chasseur et exploitant, je suis favorable à ce texte qui va dans le bon sens"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970878"",""20/07/2023"",""14:00"",""consultation décret réduction dégât grand gibier "",""Ces textes traduisent l&#8217";accord signé entre les agriculteurs et les chasseurs le 1er mars dernier     Ils clarifient et simplifient la procédure d&#8217;indemnisation des dégâts de grand gibier (retour à un seuil de franchise unique à 150 euros par an et par campagne cynégétique, meilleur encadrement des expertises, ajout d&#8217;"une possibilité de contre-expertise, limitation du recours à la CNI notamment quand il y a unanimité en CDCFS    Ils améliorent le dialogue et suivi des dégâts en prévoyant au moins deux réunions de suivi des dégâts au niveau local et national"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970882"",""20/07/2023"",""14:02"",""Projet de décret relatif à la réduction et à l&#8217";"indemnisation des dégâts de grand gibier"",""Avec avis favorable pour le projet de décret relatif à la réduction et à l&#8217";"indemnisation des dégâts de grand gibier"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970885"",""20/07/2023"",""14:03"",""Avec avis défavorable pour le projet de décret relatif à la réduction et à l&#8217";"indemnisation des dégâts de grand gibier"",""Cette réduction risque de dissuader les chasseurs du devoir qu'ils ont de maitriser les densités de sangliers qui est le prérequis pour baisser les dégats."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970929"",""20/07/2023"",""14:28"",""Avis favorable"",""Avis favorable au projet de décret "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970935"",""20/07/2023"",""14:31"",""Pour le projet de decret"",""Ces textes traduisent l&#8217";"accord signé entre les agriculteurs et les chasseurs le 1er mars dernier"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970947"",""20/07/2023"",""14:40"",""Avis favorable mais !"",""Je suis favorable à ce projet de décret sauf pour l'utilisation de la chevrotine, les tirs dans les parcelles en cours de récolte et ceux sur des points d'appâts. Ok pour le reste : simplification, amélioration des relations avec les agriculteurs ..."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970948"",""20/07/2023"",""14:40"",""Avis favorable"",""Non pas contre les agriculteurs, mais pour que ce ne soient pas seulement les chasseurs qui paient. "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""970998"",""20/07/2023"",""14:59"",""avis favorable"",""Ces textes traduisent l&#8217";"accord signé entre les agriculteurs et les chasseurs le 1er mars 2023 "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971007"",""20/07/2023"",""15:06"",""Favorable"",""Ceci traduit complètement  les accords chasseurs, agriculteurs et état  aboutis après  de bonnes négociations.  Thierry Chalmin  Pdt de  Chambre d Agriculture  70"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971111"",""20/07/2023"",""15:54"",""Projet de décret relatif à la réduction et à l&#8217";"indemnisation des dégâts de grand gibier"",""Si je suis globalement favorable à ce texte, mais il est impératif de ne pas oublier la  définition ''le gibier n&#8217";appartient a personne'' pourtant actuellement ce sont les chasseurs qui payent l'intégralité des dégâts. Les chasseurs n&#8217;"ont pas a payer des dégâts de gibier qui vient de territoire non chassé. Il est impératif de faire payer les propriétaires terriens, les anti chasse et collectivité qui refuse la chasse, également lorsque l'État prend en charge une part des dégâts les chasseurs payent 2 fois la note, dans ce cas pour le respect du principe d'égalité cher aux Français, l'État doit prendre à sa charge l'intégralité des dégâts. Sans compter que actuellement la facture doit être à la charge des chasseurs qui prélèvent et non pas aux territoires imputés par une taxe territoriale, qui n'est pas en rapport avec les quantités d'animaux prélevées."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971128"",""20/07/2023"",""16:00"",""Avis défavorable"",""Il faut que ce ne soient pas seulement les chasseurs qui paient. L'indemnisation des dégâts avec des seuils aussi bas que 150 euros par exploitation et par campagne est une porte ouverte à une multiplication des dossiers déposés.  Si les dégâts aux cultures n'étaient pas aussi facilement accordés, les agriculteurs s'adapteraient ou bien ils feraient comme avec les dégâts pourtant énormes engendrés par les pigeons et corbeaux ils feraient au mieux sans rien demander à personne ou bien faut-il envisager des demander à la LPO de mettre la main à la poche ? Les chasseurs n&#8217";"ont pas non plus à payer des dégâts de gibier qui vient de territoire non chassé. Il est impératif de faire payer les propriétaires terriens, les anti chasse et collectivité qui refuse la chasse"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971194"",""20/07/2023"",""16:39"",""dégâts grand gibier "",""avis défavorable,les chasseurs ne doivent pas être les seuls à payer "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971201"",""20/07/2023"",""16:43"",""Avis Favorable"",""Avis Favorable, ces textes traduisent l&#8217";accord signé entre les agriculteurs et les chasseurs le 1 er mars dernier ; ils clarifient et simplifient la procédure d&#8217;"indemnisation des dégâts de grand gibier."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971202"",""20/07/2023"",""16:43"",""avis favorable"",""Ils améliorent le dialogue et suivi des dégâts en prévoyant au moins deux réunions de suivi des dégâts au niveau local et national."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971207"",""20/07/2023"",""16:45"",""avis favorable"",""trop hâte que la LPO commence enfin à payer leur malfaçons"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971224"",""20/07/2023"",""16:53"",""Projet de texte"",""Je suis favorable à  ce projet. Moins sur l'utilisation de la chevrotine..."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971225"",""20/07/2023"",""16:53"",""M.  NOEBES Alain "",""Avis favorable devant la densité de sangliers "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971230"",""20/07/2023"",""16:56"",""AVIS FAVORABLE"",""AVIS FAVORABLE/ Ces textes traduisent l&#8217";"accord signé entre les agriculteurs et les chasseurs"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971231"",""20/07/2023"",""16:56"",""AVIS FAVORABLE.!"",""AVIS FAVORABLE/ Ces textes traduisent l&#8217";"accord signé entre les agriculteurs et les chasseurs..."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971267"",""20/07/2023"",""17:17"",""AVIS FAVORABLE"",""Il s'agit de la mise en oeuvre de l'accord chasseurs-agriculteurs, ce qui est une mesure de bon sens"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971303"",""20/07/2023"",""17:32"",""DESTRUCTION DES ANIMAUX NUISIBLES"",""Tous les moyens doivent être mis en &#339";uvre afin de réduire les populations de sanglier ; Il y a urgence ! Il faut réduire les dégâts agricoles (uniquement payés par les chasseurs !), les dégâts autres (pelouses, tour de piscine, jardin&#8230;) sources de conflits entre ruraux, et limiter les collisions routières qui ont parfois des conséquences dramatiques&#8230;" Et pour cela, généralisons la chevrotine sur l'ensemble du territoire : en effet celle-ci a une faible portée en comparaison avec une balle de carabine et ainsi il y aurait beaucoup moins d'accidents de chasse mortels."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971339"",""20/07/2023"",""17:43"",""Avis favorable"",""Utilisée dans les Landes depuis plusieurs années la chevrotine est très efficace à courte distance et a fait ses preuves.  "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971345"",""20/07/2023"",""17:45"",""Indemnisation dégâts grand gibier "",""Avis favorable . Les indemnisations ne doivent pas reposer sur la seule tête des chasseurs ."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971347"",""20/07/2023"",""17:46"",""favorable"",""&#8226"; Ces textes traduisent l&#8217;accord signé entre les agriculteurs et les chasseurs le 1er mars dernier ;  &#8226; Ils instaurent une nouvelle « boite à outils » pour limiter les dégâts de sanglier en fonction des besoins et circonstances locales (extension de la période de chasse, utilisation de la chevrotine dans les maquis et zones périurbaines, tirs autour des récoltes et points d&#8217;appât, meilleur encadrement de l&#8217;agrainage dissuasif) ;","","",publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971375"",""20/07/2023"",""17:57"",""Favorable car orienté vers une nette diminution des dégâts aux cultures :"",""Ces articles instaurent une nouvelle « boite à outils » pour limiter les dégâts de sangliers en fonction des besoins et circonstances locales (extension de la période de chasse, utilisation de la chevrotine dans les maquis et zones périurbaines).   Je propose également que les laies anciennes ne soient pas tirées car elles apprennent à leurs descendants, comme à toute leur compagnie, les lieux naturels de nourriture évitant donc de saccager les cultures humaines A PRIORI. Selon ce que j'ai appris depuis 1975, c'est un moyen naturel complémentaire aux moyens de destructions au moins avec comme ambition de les remplacer davantage. "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971385"",""20/07/2023"",""18:01"",""Dégâts de gibier"",""Ces textes traduisent l'accord signé entre les agriculteurs et les chasseurs le 01 mars dernier ";" ils instaurent une nouvelle 'boite à outils' pour limiter les dégâts de sanglier en fonction des besoins et circonstances locales (extension de la période de chasse, utilisation de la chevrotine dans le maquis et zones périurbaines, tirs autour des récoltes et points d'appât, meilleur encadrement de l'agrainage dissuasif)"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971391"",""20/07/2023"",""18:02"",""Avis Favorable"",""Favorable, ces textes traduisent l&#8217";"accord signé entre les agriculteurs et les chasseurs le 1er mars dernier "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971412"",""20/07/2023"",""18:11"",""Avis favorable "",""Texte conforme aux accords passés entre la Fnc et l&#8217";état et entre la Fnc et la profession agricole. L&#8217;"objectif étant la réduction des dégâts agricoles."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971414"",""20/07/2023"",""18:13"",""Dégâts du gibier"",""Avis favorable à ce texte car il traduit les accords déjà signés."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971417"",""20/07/2023"",""18:16"",""Dégâts sangliers"",""Opportunistes les sangliers s'installent et prolifèrent là où 'la table est mise'. Les cultures ne cessent d'augmenter dans les Landes, les envahisseurs aussi ! Les chasseurs ,par passion pour certains, mais par pur civisme cynégétique pour le plus grand nombre d'entre eux ,relevent la gageure en traquant sans cesse les sangliers. Cette quasi mono-chasse commence à peser lourdement  sur leurs épaules et, double peine, ils mettent en plus la main à la poche pour indemniser les dégâts que font ces animaux aux cultures!  Ce n'est pas juste de faire d'eux des 'Assureurs gratuits' des agriculteurs! Il faut à mon avis trouver un autre mode de financement, pas des histoires de réduction , faute de quoi les porteurs de fusil se feront de moins en moins nombreux, jusqu'au moment ou......   JC Grasset"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971427"",""20/07/2023"",""18:20"",""DEGATS MAIS "",""Il faut simpliflier les procedures avant la disparition de tout les agriculteurs "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971432"",""20/07/2023"",""18:22"",""Sans titre"",""Je suis favorable car après plusieurs années d&#8217";expérimentations, l&#8217;"emploi de la chevrotine pour la chasse à tir du sanglier a montré son efficacité et permet donc de limiter les dégâts de grand gibier. Par ailleurs, l'ensemble des acteurs locaux Chasseurs, Agriculteur et Etat soutient ce texte."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971435"",""20/07/2023"",""18:22"",""degats gibier"",""Favorable, ces textes traduisent l&#8217";"accord signé entre les agriculteurs et les chasseurs le 1er mars dernier."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971451"",""20/07/2023"",""18:27"",""Projet de décret relatif à la réduction et à l&#8217";"indemnisation des dégâts de grand gibier"",""Avis favorable à cet arrêté "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971452"",""20/07/2023"",""18:28"",""favorable"",""il faut faciliter les prélèvements et facilité les indémnisations."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971455"",""20/07/2023"",""18:29"",""Décret dégât sanglier"",""Avis favorable pour le nouveau décret dégât sanglier"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971459"",""20/07/2023"",""18:30"",""Projet de décret relatif à la réduction et à l&#8217";"indemnisation des dégâts de grand gibier"",""Avis favorable à la réduction et à l indemnisation  des dégâts de grand gibier"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971470"",""20/07/2023"",""18:33"",""Favorable "",""Pour un agrenage responsable qui diminu les dégâts de culture  "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971473"",""20/07/2023"",""18:34"",""Dégâts sanglier"","" Ces textes traduisent l&#8217";"accord signé entre les agriculteurs et les chasseurs. Ils instaurent « boite à outils » pour limiter les dégâts de sanglier utilisation de la chevrotine dans les zones périurbaines, tirs autour des récoltes."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971500"",""20/07/2023"",""18:41"",""Avis favorable"",""Ces textes  l'accord signé entre les agriculteurs et les chasseurs le 1er mars dernier."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971519"",""20/07/2023"",""18:45"",""décret relatif à la réduction et indemnisation des dégâts de grand gibier"",""Avis favorable car lié à l'efficacité de la chevrotine qui a fait baisser la population de sangliers et par conséquence les dégâts liés à cet animal."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971530"",""20/07/2023"",""18:49"",""Décret dégât sanglier, le 20 juillet 2023 à 18h 47"",""Avis favorable pour le nouveau décret dégât sangliers. "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971536"",""20/07/2023"",""18:50"",""accord décret"",""avis favorable pour ce décret "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971537"",""20/07/2023"",""18:50"",""dégâts"",""favorable au décret"","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971542"",""20/07/2023"",""18:52"",""Tir à la chevrotine "",""A réserver uniquement à certains départements sinon les accidents vont se multiplier "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971543"",""20/07/2023"",""18:52"",""Décret dégât sanglier, le 20 juillet 2023 à 18h 47"",""Avis favorable pour le nouveau décret dégât sangliers, et surtout qu'il soit bien appliqué. "","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"article,""2888"",""971552"",""20/07/2023"",""18:55"",""Avis favorable"",""Ces textes traduisent l'accord signé entre les agriculteurs et les chasseurs."","""","""",""publie""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
